File,labelPoint,label,f0,time,begTimeLabel,endTimeLabel 
GUJ-P1-target1,L,ananyaa,112.60115382855311,0.07164298832522017,0.005208860212810049,0.4192011255670984
GUJ-P1-target1,H,ananyaa,134.62618825187343,0.3837339362963046,0.005208860212810049,0.4192011255670984
GUJ-P1-target1,L,kheDvaanu,102.72766368645574,0.8509426040590652,0.4192011255670984,0.8697159661964549
GUJ-P1-target10,L,laavanya,101.4790317406827,0.37588251323114225,0.28195268726100375,0.7518404312401943
GUJ-P1-target10,H,laavanya,127.65939025638482,0.7274953854205632,0.28195268726100375,0.7518404312401943
GUJ-P1-target10,L,aaraam,103.19867956342848,0.8706623425647512,0.7518404312401943,1.0307012305046417
GUJ-P1-target10,H,aaraam,111.00341639599623,0.9449882811460538,0.7518404312401943,1.0307012305046417
GUJ-P1-target11,L,ananyaa,106.67193408394053,0.7264336116015568,0.6597330260256805,1.1331475977166665
GUJ-P1-target11,H,ananyaa,122.17521783074893,1.0800372384198278,0.6597330260256805,1.1331475977166665
GUJ-P1-target11,L,vyaayaam,105.48289486546317,1.2427174360308924,1.1331475977166665,1.474846018412983
GUJ-P1-target11,H,vyaayaam,109.14829288553014,1.3542739834256965,1.1331475977166665,1.474846018412983
GUJ-P1-target12,L,laavanya,106.90790127521063,0.2461227065952962,0.21920774422199601,0.7623643537997569
GUJ-P1-target12,H,laavanya,122.77200454546764,0.671971903298101,0.21920774422199601,0.7623643537997569
GUJ-P1-target12,L,kheDvaanu,103.84567466392758,1.1067016610319176,0.8206352383254276,1.2358152905708313
GUJ-P1-target12,H,kheDvaanu,105.07446404147711,1.167216376294378,0.8206352383254276,1.2358152905708313
GUJ-P1-target13,L,ananyaa,112.66066830473368,0.2613796921759147,0.1792755278066796,0.594367662770755
GUJ-P1-target13,H,ananyaa,122.6958935258822,0.46443641655608053,0.1792755278066796,0.594367662770755
GUJ-P1-target13,L,aaraam,101.60648810878993,0.6898469318377495,0.594367662770755,0.8886657902056022
GUJ-P1-target13,H,aaraam,108.49662407267719,0.7772700845736448,0.594367662770755,0.8886657902056022
GUJ-P1-target14,L,ananyaa,106.67193408394053,0.7264336116015568,0.6615876335381409,1.1313220089812965
GUJ-P1-target14,H,ananyaa,122.17521783074893,1.0800372384198278,0.6615876335381409,1.1313220089812965
GUJ-P1-target14,L,vyaayaam,105.48895522071962,1.242953220874246,1.1313220089812965,1.4690649070272017
GUJ-P1-target14,H,vyaayaam,109.14131317262581,1.3555236262563628,1.1313220089812965,1.4690649070272017
GUJ-P1-target15,L,laavanya,106.749233200912,0.24441275053822287,0.22702280640990605,0.7644767719473758
GUJ-P1-target15,H,laavanya,122.75931118841527,0.6722964383248331,0.22702280640990605,0.7644767719473758
GUJ-P1-target15,L,kheDvaanu,102.94127221110843,1.1263107421208582,0.824193879229317,1.235188088169735
GUJ-P1-target15,H,kheDvaanu,105.15429028119961,1.1649563520219601,0.824193879229317,1.235188088169735
GUJ-P1-target16,L,laavanya,100.59091741484272,0.16370797900790082,0.0023173451364164013,0.49416902819869096
GUJ-P1-target16,H,laavanya,119.94031702998936,0.46313468807913755,0.0023173451364164013,0.49416902819869096
GUJ-P1-target16,L,nindvaanu,101.94179872457919,0.6837520248704873,0.49416902819869096,0.9533276527724417
GUJ-P1-target16,H,nindvaanu,111.69819366915463,0.74483298627296,0.49416902819869096,0.9533276527724417
GUJ-P1-target2,L,laavanya,97.94665973195436,0.211492204089514,0.13830794656210335,0.61882881417245
GUJ-P1-target2,H,laavanya,122.19002357708709,0.5076486370489914,0.13830794656210335,0.61882881417245
GUJ-P1-target2,L,vyaayaam,102.59328060921112,0.73257205125141,0.61882881417245,1.012353132050159
GUJ-P1-target2,H,vyaayaam,107.11791428069962,0.8558661220856237,0.61882881417245,1.012353132050159
GUJ-P1-target3,L,ananyaa,109.93487950599653,0.7091740068668976,0.618987954827128,1.0486366244005545
GUJ-P1-target3,H,ananyaa,119.49030446400361,0.9535429154366148,0.618987954827128,1.0486366244005545
GUJ-P1-target3,L,nindvaanu,95.99539974074634,1.2158801261070464,1.0486366244005545,1.4817517640725901
GUJ-P1-target3,H,nindvaanu,110.69021125537336,1.32114781846121,1.0486366244005545,1.4817517640725901
GUJ-P1-target4,L,ananyaa,102.77011656685796,0.1640921105830614,0.13794764440941099,0.6709906084090147
GUJ-P1-target4,H,ananyaa,126.09680816040107,0.6331473693230681,0.13794764440941099,0.6709906084090147
GUJ-P1-target4,L,aaraam,99.7353392004388,0.8087769184585453,0.6709906084090147,1.0322263360781676
GUJ-P1-target4,H,aaraam,104.5367388574751,0.9001595308725365,0.6709906084090147,1.0322263360781676
GUJ-P1-target5,L,laavanya,103.01193965904656,0.47274143907822447,0.40451046175868766,0.8840431765578044
GUJ-P1-target5,H,laavanya,117.38242201199682,0.8301655489651201,0.40451046175868766,0.8840431765578044
GUJ-P1-target5,L,vyaayaam,104.53491197335197,1.0047819565578748,0.8840431765578044,1.2462077443781163
GUJ-P1-target5,H,vyaayaam,106.75795116242395,1.1174982539087408,0.8840431765578044,1.2462077443781163
GUJ-P1-target6,L,ananyaa,107.50298012272842,0.04009658533472195,0.005148954439058519,0.3646253819783275
GUJ-P1-target6,H,ananyaa,124.26652365806208,0.3303187360754086,0.005148954439058519,0.3646253819783275
GUJ-P1-target6,L,nindvaanu,103.8120344672658,0.5036386196384895,0.3646253819783275,0.7583234739269615
GUJ-P1-target6,H,nindvaanu,111.75920231883336,0.595842780312505,0.3646253819783275,0.7583234739269615
GUJ-P1-target7,L,laavanya,102.22158396321758,0.17289641399428068,0.0713207322149946,0.5137242407445266
GUJ-P1-target7,H,laavanya,114.65461463700326,0.3831005423742229,0.0713207322149946,0.5137242407445266
GUJ-P1-target7,L,aaraam,104.62602455339066,0.5812002992909798,0.5137242407445266,0.7539433403985711
GUJ-P1-target7,H,aaraam,109.5655926255459,0.6703596699483758,0.5137242407445266,0.7539433403985711
GUJ-P1-target8,L,ananyaa,113.86272244128897,0.11848345200311,0.059565773102590196,0.4065854983943386
GUJ-P1-target8,H,ananyaa,124.45473954409003,0.3837129123237278,0.059565773102590196,0.4065854983943386
GUJ-P1-target8,L,kheDvaanu,109.86672618964928,0.5691421366875745,0.4065854983943386,0.811441844568045
GUJ-P1-target8,H,kheDvaanu,110.52962837834986,0.6597267969256578,0.4065854983943386,0.811441844568045
GUJ-P1-target9,L,laavanya,100.5798736475092,0.15387473774558477,0.00628197625514499,0.49039738274737765
GUJ-P1-target9,H,laavanya,120.14292696423495,0.4615200133127426,0.00628197625514499,0.49039738274737765
GUJ-P1-target9,L,nindvaanu,102.46934900949272,0.6658928555293748,0.49039738274737765,0.932174850157397
GUJ-P1-target9,H,nindvaanu,111.88046721878484,0.7302724388871833,0.49039738274737765,0.932174850157397
GUJ-P10-target1,L,ananyaa,136.1626561701558,0.18753845077195516,0.09347693027651822,0.5402160719020019
GUJ-P10-target1,H,ananyaa,139.3210312667239,0.2702905017176803,0.09347693027651822,0.5402160719020019
GUJ-P10-target1,L,kheDvaanu,114.08735953204784,0.9771208700908064,0.5402160719020019,0.9980612704183045
GUJ-P10-target10,L,laavanya,115.97665044348321,0.34831386403793546,0.30698980218483735,0.7600603658354818
GUJ-P10-target10,H,laavanya,134.54753069299818,0.6199651556771455,0.30698980218483735,0.7600603658354818
GUJ-P10-target10,L,aaraam,124.75518115857884,0.7857175618939113,0.7600603658354818,1.0751391737072913
GUJ-P10-target10,H,aaraam,133.88505221395792,0.9089578420743596,0.7600603658354818,1.0751391737072913
GUJ-P10-target11,L,ananyaa,131.69386521973857,0.19840795349863105,0.11139980557588593,0.5538667147395494
GUJ-P10-target11,H,ananyaa,137.89601382206737,0.28733989759122947,0.11139980557588593,0.5538667147395494
GUJ-P10-target11,L,vyaayaam,119.92381847121145,0.5709737246103977,0.5538667147395494,0.8994587699212302
GUJ-P10-target11,H,vyaayaam,131.48635436804958,0.7392593685923925,0.5538667147395494,0.8994587699212302
GUJ-P10-target12,L,laavanya,118.26188265733698,0.3538444503121742,0.24497130494178418,0.7296143437720078
GUJ-P10-target12,H,laavanya,140.45198240456008,0.6494200014824277,0.24497130494178418,0.7296143437720078
GUJ-P10-target12,L,kheDvaanu,127.41766138405437,0.9057865509668312,0.7296143437720078,1.2219190844285563
GUJ-P10-target12,H,kheDvaanu,131.97272067707584,0.9781724002330159,0.7296143437720078,1.2219190844285563
GUJ-P10-target13,L,ananyaa,125.23605556301099,0.5572833873688059,0.30897778306673207,0.7923992090385176
GUJ-P10-target13,H,ananyaa,151.0073354833105,0.7497961471381928,0.30897778306673207,0.7923992090385176
GUJ-P10-target13,L,aaraam,109.47634687362829,1.2060250161807122,0.9040237146484255,1.2299549870487707
