"","File","totalDuration","label","duration","language","talker","utt","condition","gf","WorS","durationN","Tone"
"274","CHO-P10-target9.wav",1.7661826996332,"nedvaanu",0.403373117483537,"Chodri","P10","target9","subjFoc","predicate","word",0.22838697127274,"LH"
"275","CHO-P10-target9.wav",1.7661826996332,"kaam",0.194666157540137,"Chodri","P10","target9","subjFoc","other","other",0.110218584736769,"0"
"276","CHO-P10-target9.wav",1.7661826996332,"karti hase",0.686450301277637,"Chodri","P10","target9","subjFoc","other","other",0.388663246118422,"0"
"277","CHO-P10-target9.wav",1.7661826996332,"laa",0.215803778184283,"Chodri","P10","target9","subjFoc","subject","syl",0.122186554216108,"LH"
"278","CHO-P10-target9.wav",1.7661826996332,"van",0.154210824597592,"Chodri","P10","target9","subjFoc","subject","syl",0.0873130648542867,"LH"
"279","CHO-P10-target9.wav",1.7661826996332,"ya",0.111678520550011,"Chodri","P10","target9","subjFoc","subject","syl",0.0632315788016748,"LH"
"280","CHO-P10-target9.wav",1.7661826996332,"ned",0.220323157667893,"Chodri","P10","target9","subjFoc","predicate","syl",0.124745394524389,"LH"
"281","CHO-P10-target9.wav",1.7661826996332,"vaa",0.118962582533454,"Chodri","P10","target9","subjFoc","predicate","syl",0.0673557625483253,"LH"
"282","CHO-P10-target9.wav",1.7661826996332,"nu",0.0640873772821899,"Chodri","P10","target9","subjFoc","predicate","syl",0.0362858142000257,"LH"
"283","CHO-P10-target9.wav",1.7661826996332,"karti hase",0.686450301277637,"Chodri","P10","target9","subjFoc","other","other",0.388663246118422,"0"
"284","CHO-P11-target1.wav",1.87503738200875,"ananyaa",0.438074770732498,"Chodri","P11","target1","subjFoc","subject","word",0.233635219721958,"LH"
"285","CHO-P11-target1.wav",1.87503738200875,"kheDvaanu",0.46366320094469,"Chodri","P11","target1","subjFoc","predicate","word",0.24728211042276,"LH"
"286","CHO-P11-target1.wav",1.87503738200875,"kaam",0.228086633433315,"Chodri","P11","target1","subjFoc","other","other",0.121643779277064,"0"
"287","CHO-P11-target1.wav",1.87503738200875,"karti hase",0.745212776898244,"Chodri","P11","target1","subjFoc","other","other",0.397438890578218,"0"
"288","CHO-P11-target1.wav",1.87503738200875,"a",0.0865784689567234,"Chodri","P11","target1","subjFoc","subject","syl",0.0461742628640134,"LH"
"289","CHO-P11-target1.wav",1.87503738200875,"nan",0.240259609716562,"Chodri","P11","target1","subjFoc","subject","syl",0.128135903860844,"LH"
"290","CHO-P11-target1.wav",1.87503738200875,"yaa",0.111236692059213,"Chodri","P11","target1","subjFoc","subject","syl",0.0593250529971001,"LH"
"291","CHO-P11-target1.wav",1.87503738200875,"kheD",0.255698681319873,"Chodri","P11","target1","subjFoc","predicate","syl",0.136369911220618,"LH"
"292","CHO-P11-target1.wav",1.87503738200875,"vaa",0.113652133832881,"Chodri","P11","target1","subjFoc","predicate","syl",0.0606132629265899,"LH"
"293","CHO-P11-target1.wav",1.87503738200875,"nu",0.0943123857919365,"Chodri","P11","target1","subjFoc","predicate","syl",0.0502989362755523,"LH"
"294","CHO-P11-target1.wav",1.87503738200875,"karti ha",0.745212776898244,"Chodri","P11","target1","subjFoc","other","other",0.397438890578218,"0"
"295","CHO-P11-target10.wav",1.49948425906984,"laavanya",0.499605587892414,"Chodri","P11","target10","predFoc","subject","word",0.33318495000563,"LH"
"296","CHO-P11-target10.wav",1.49948425906984,"aaraam",0.274532061863316,"Chodri","P11","target10","predFoc","predicate","word",0.183084323961903,"LH"
