"talker","language","f0.mean","f0.sd"
"P1","Chodri",183.971903581959,17.9941297868013
"P1","Gujarati",109.228786502908,9.10255761966974
"P1","Marathi",215.192751614284,20.2696873895898
"P10","Chodri",132.120904860933,7.28367401779652
"P10","Gujarati",128.524811059614,8.34582289536367
"P10","Marathi",166.5355941793,43.0640346426716
"P11","Chodri",99.7284561471625,9.89558312701053
"P11","Gujarati",185.507956786256,27.2204652609631
"P11","Marathi",193.749682377894,16.7954766936476
"P12","Chodri",211.194366908732,15.9043573277929
"P12","Gujarati",100.402955597202,8.95916126497516
"P2","Gujarati",204.433563395492,23.1810511744067
"P2","Marathi",245.134262695097,23.4820613511848
"P3","Chodri",136.522231622086,9.86371904495925
"P3","Gujarati",221.861806884509,34.8769520892917
"P3","Marathi",241.529713978107,25.7332181130992
"P4","Chodri",240.338723752842,24.1304102528424
"P4","Gujarati",238.991270586221,30.6197203327202
"P4","Marathi",233.1502291692,22.8517126926435
"P5","Chodri",109.768836386869,10.9567372528227
"P5","Gujarati",219.725271457805,21.2645176092082
"P5","Marathi",146.301118989008,15.915325775125
"P6","Chodri",233.807674851963,29.3189538820827
"P6","Gujarati",121.031361524604,12.795594415889
"P6","Marathi",176.659160810228,25.2459781481706
"P7","Chodri",255.527410888444,22.659301340722
"P7","Gujarati",129.114765457252,12.9040324906229
"P7","Marathi",136.136199114457,15.0250504626648
"P8","Chodri",175.593265335362,16.5630590581752
"P8","Gujarati",200.21319164966,18.1510372452366
"P8","Marathi",128.57686104296,12.2433979618976
"P9","Chodri",207.899394117923,17.9892755067021
"P9","Gujarati",211.155661008244,42.1266811407006
"P9","Marathi",139.315966047551,14.7561692041497
