"","File","Words","Contour"
"69","GUJ-P2-target13.wav","ananyaa <p> aaraam kare che ","L-H% LH LH L-L%"
"70","GUJ-P2-target14.wav","disfluent ",""
"71","GUJ-P2-target15.wav","laavanya kheDvaanu kaam kare che ","LH 0 0 0 L-L% "
"72","GUJ-P2-target16.wav","laavanya <p> nindvaanu kaam kare che ","L-H% LH 0 LH L-L% "
"73","GUJ-P2-target2.wav","disfluent ",""
"74","GUJ-P2-target3.wav","ananyaa <p> nindvaanu kaam kare che ","L-H% LH 0 0 L-L%"
"75","GUJ-P2-target4.wav","ananyaa aaraam kare che ","LH LH 0 L-L% "
"76","GUJ-P2-target5.wav","disfluent ",""
"77","GUJ-P2-target6.wav","ananyaa nindvaanu kaam kare che ","LH LH LH 0 L-L% "
"78","GUJ-P2-target7.wav","laavanya aaraam kare che ","LH LH 0 L-L% "
"79","GUJ-P2-target8.wav","ananyaa <p> kheDvaanu kaam kare che ","L-H% LH 0 0 L-L% "
"80","GUJ-P2-target9.wav","disfluent ",""
"81","GUJ-P3-target1.wav","ananyaa kheDvaanu kaam kare che ","LH LH LH LH L-L% "
"82","GUJ-P3-target10.wav","laavanya aaraam kare che ","LH LH LH L-L% "
"83","GUJ-P3-target11.wav","ananyaa <p> vyaayaam kare che ","L-H% 0 LH L-L% "
"84","GUJ-P3-target12.wav","laavanya <p> kheDvaanu kaam kare che ","L-H% LH LH 0 L-L% "
"85","GUJ-P3-target13.wav","ananyaa aaraam kare che ","LH LH LH L-L% "
"86","GUJ-P3-target14.wav","ananyaa vyaayaam kare che ","LH LH LH L-L% "
"87","GUJ-P3-target15.wav","laavanya kheDvaanu kaam kare che ","LH LH LH LH L-L% "
"88","GUJ-P3-target16.wav","laavanya nindvaanu kaam kare che ","LH LH 0 0 L-L% "
"89","GUJ-P3-target2.wav","laavanya vyaayaam kare che ","LH LH 0 L-L% "
"90","GUJ-P3-target3.wav","ananyaa nindvaanu kaam kare che ","LH LH 0 0 H-L% "
"91","GUJ-P3-target4.wav","ananyaa aaraam kare che ","LH LH 0 L-L% "
"92","GUJ-P3-target5.wav","laavanya vyaayaam kare che ","LH LH 0 L-L% "
"93","GUJ-P3-target6.wav","ananyaa nindvaanu kaam kare che ","LH LH LH 0 H-L% "
"94","GUJ-P3-target7.wav","laavanya aaraam kare che ","LH LH 0 L-L% "
"95","GUJ-P3-target8.wav","ananyaa kheDvaanu kaam kare che ","LH LH LH 0 L-L% "
"96","GUJ-P3-target9.wav","laavanya nindvaanu kaam kare che ","LH 0 0 0 L-L% "
"97","GUJ-P4-target1.wav","ananyaa kheDvaanu kaam kare che ","LH LH LH LH L-L% "
"98","GUJ-P4-target10.wav","laavanya aaraam kare che ","LH LH LH L-H% "
"99","GUJ-P4-target11.wav","ananyaa vyaayaam kare che ","LH 0 LH L-H% "
"100","GUJ-P4-target12.wav","laavanya kheDvaanu kaam kare che ","LH LH 0 0 L-L% "
"101","GUJ-P4-target13.wav","ananyaa aaraam kare che ","LH LH LH L-L% "
"102","GUJ-P4-target14.wav","ananyaa vyaayaam kare che ","LH LH 0 L-H% "
"103","GUJ-P4-target15.wav","laavanya kheDvaanu kaam kare che ","LH 0 0 LH L-H% "
"104","GUJ-P4-target16.wav","laavanya nindvaanu kaam kare che ","LH LH 0 LH L-H% "
"105","GUJ-P4-target2.wav","laavanya vyaayaam kare che ","LH LH LH L-H% "
"106","GUJ-P4-target3.wav","ananyaa nindvaanu kaam kare che ","LH LH 0 LH L-H% "
"107","GUJ-P4-target4.wav","ananyaa aaraam kare che ","LH LH LH L-H% "
"108","GUJ-P4-target5.wav","laavanya vyaayaam kare che ","LH 0 LH L-H% "
