"","File","Tone","Time","Word","Syllable","language","talker","utt","condition","gf"
"22","CHO-P1-target14.wav","H",1.18860916610319,"kasrat","rat","Chodri","P1","target14","predFoc","predicate"
"23","CHO-P1-target15.wav","L",0.416592224365427,"laavanya","laa","Chodri","P1","target15","subjFoc","subject"
"24","CHO-P1-target15.wav","H",0.639376981871753,"laavanya","ya","Chodri","P1","target15","subjFoc","subject"
"26","CHO-P1-target15.wav","H",1.350557944673,"kaam","kaam","Chodri","P1","target15","subjFoc","other"
"27","CHO-P1-target16.wav","L",0.463499847253799,"laavanya","laa","Chodri","P1","target16","predFoc","subject"
"28","CHO-P1-target16.wav","H",0.7026414452818,"laavanya","ya","Chodri","P1","target16","predFoc","subject"
"29","CHO-P1-target16.wav","L",0.974486167826451,"nedvaanu","ned","Chodri","P1","target16","predFoc","predicate"
"30","CHO-P1-target16.wav","H",1.29129768658149,"nedvaanu","nu","Chodri","P1","target16","predFoc","predicate"
"31","CHO-P1-target2.wav","L",0.473325689187208,"laavanya","laa","Chodri","P1","target2","predFoc","subject"
"32","CHO-P1-target2.wav","H",0.813125603496491,"laavanya","ya","Chodri","P1","target2","predFoc","subject"
"33","CHO-P1-target2.wav","L",1.03620117587703,"kasrat","kas","Chodri","P1","target2","predFoc","predicate"
"34","CHO-P1-target2.wav","H",1.25159794538462,"kasrat","rat","Chodri","P1","target2","predFoc","predicate"
"35","CHO-P1-target3.wav","L",0.311429276325734,"ananyaa","a","Chodri","P1","target3","subjFoc","subject"
"36","CHO-P1-target3.wav","H",0.613426050254248,"ananyaa","nan","Chodri","P1","target3","subjFoc","subject"
"37","CHO-P1-target3.wav","L",0.963769081677469,"nedvaanu","ned","Chodri","P1","target3","subjFoc","predicate"
"38","CHO-P1-target3.wav","H",1.14064922301308,"nedvaanu","nu","Chodri","P1","target3","subjFoc","predicate"
"39","CHO-P1-target5.wav","L",0.326684568284345,"laavanya","laa","Chodri","P1","target5","subjFoc","subject"
"40","CHO-P1-target5.wav","H",0.729665411428401,"laavanya","ya","Chodri","P1","target5","subjFoc","subject"
"41","CHO-P1-target5.wav","L",0.922244919376248,"kasrat","kas","Chodri","P1","target5","subjFoc","predicate"
"42","CHO-P1-target5.wav","H",1.14362097093344,"kasrat","rat","Chodri","P1","target5","subjFoc","predicate"
"43","CHO-P1-target6.wav","L",0.243839304127308,"ananyaa","nan","Chodri","P1","target6","predFoc","subject"
"44","CHO-P1-target6.wav","H",0.419597951134176,"ananyaa","nan","Chodri","P1","target6","predFoc","subject"
"45","CHO-P1-target6.wav","L",0.76530948828876,"nedvaanu","ned","Chodri","P1","target6","predFoc","predicate"
"46","CHO-P1-target6.wav","H",1.07651219605961,"nedvaanu","nu","Chodri","P1","target6","predFoc","predicate"
"47","CHO-P1-target7.wav","L",0.282518085116736,"laavanya","laa","Chodri","P1","target7","subjFoc","subject"
