"","File","Words","Contour"
"1","MAR-P1-target1.wav","ananyaa naangarNi karte aahe ","LH LH LH L-L% "
"2","MAR-P1-target10.wav","laavanya aaraam karat aahe ","LH LH LH L-L% "
"3","MAR-P1-target11.wav","ananyaa vyaayaam karat aahe ","LH LH LH L-L% "
"4","MAR-P1-target12.wav","laavanya naangarNi karat aahe ","LH LH LH L-L% "
"5","MAR-P1-target13.wav","ananyaa aaraam karat aahe ","LH LH LH L-L% "
"6","MAR-P1-target14.wav","ananyaa vyaayaam karat aahe ","LH LH LH L-L% "
"7","MAR-P1-target15.wav","laavanya naangarNi karat aahe ","LH LH LH L-L% "
"8","MAR-P1-target16.wav","laavanya nindaNi karat aahe ","LH LH 0 L-L% "
"9","MAR-P1-target2.wav","laavanya vyaayaam karat aahe ","LH LH LH L-L% "
"10","MAR-P1-target3.wav","ananyaa nindaNi karate aahe ","LH LH LH L-L% "
"11","MAR-P1-target4.wav","ananyaa aaraam karte aahe ","LH LH LH L-L% "
"12","MAR-P1-target5.wav","laavanya vyaayaam karat aahe ","LH LH LH L-L% "
"13","MAR-P1-target6.wav","ananyaa nindaNi karte aahe ","LH LH LH L-L% "
"14","MAR-P1-target7.wav","laavanya aaraam karat aahe ","LH LH LH L-L% "
"15","MAR-P1-target8.wav","ananyaa naangarNi karat aahe ","LH LH LH L-L% "
"16","MAR-P1-target9.wav","laavanya nindaNi karat aahe ","LH LH LH L-L% "
"17","MAR-P10-target1.wav","ananyaa naangarNi karte aahe ","LH LH 0 L-L% "
"18","MAR-P10-target10.wav","laavanya aaraam karte aahe ","LH LH 0 L-H% "
"19","MAR-P10-target11.wav","ananyaa vyaayaam karte aahe ","LH LH 0 L-L% "
"20","MAR-P10-target12.wav","laavanya naangarNi karte aahe ","LH LH 0 L-H% "
"21","MAR-P10-target13.wav","ananyaa aaraam karte aahe ","LH 0 0 L-L% "
"22","MAR-P10-target14.wav","ananyaa vyaayaam karte aahe ","L H 0 L-H% "
"23","MAR-P10-target15.wav","laavanya naangarNi karte aahe ","LH 0 0 L-L% "
"24","MAR-P10-target16.wav","laavanya nindaNi karte aahe ","LH LH 0 L-L% "
"25","MAR-P10-target2.wav","laavanya vyaayaam karte aahe ","LH LH 0 L-L% "
"26","MAR-P10-target3.wav","ananyaa nindaNi karte aahe ","LH 0 0 L-L% "
"27","MAR-P10-target4.wav","ananyaa aaraam karte aahe ","LH LH 0 L-L% "
"28","MAR-P10-target5.wav","laavanya vyaayaam karte aahe ","LH 0 0 L-H% "
"29","MAR-P10-target6.wav","ananyaa nindaNi karte aahe ","LH LH 0 L-L% "
"30","MAR-P10-target7.wav","laavanya aaraam karte aahe ","LH 0 LH L-L% "
"31","MAR-P10-target8.wav","ananyaa naangarNi karte aahe ","LH LH 0 L-L% "
"32","MAR-P10-target9.wav","laavanya nindaNi karte aahe ","LH 0 LH L-L% "
"33","MAR-P11-target1.wav","ananyaa naangarNi karte aahe ","LH LH LH L-L% "
"34","MAR-P11-target10.wav","laavanya aaraam karte aahe ","LH LH LH L-L% "
"35","MAR-P11-target11.wav","ananyaa vyaayaam karte aahe ","LH LH LH L-H% "
"36","MAR-P11-target12.wav","laavanya naangarNi karte aahe ","LH LH LH L-L% "
"37","MAR-P11-target13.wav","ananyaa aaraam karte aahe ","LH LH LH L-H% "
"38","MAR-P11-target14.wav","ananyaa vyaayaam karte aahe ","LH LH LH L-H% "
"39","MAR-P11-target15.wav","laavanya naangarNi karte aahe ","LH LH LH L-L% "
"40","MAR-P11-target16.wav","laavanya nindaNi karte aahe ","LH LH LH L-H% "
"41","MAR-P11-target2.wav","laavanya vyaayaam karte aahe ","LH LH 0 L-H% "
"42","MAR-P11-target3.wav","ananyaa nindaNi karte aahe ","LH LH LH L-L% "
"43","MAR-P11-target4.wav","ananyaa aaraam karte aahe ","LH LH LH L-L% "
"44","MAR-P11-target5.wav","laavanya vyaayaam karte aahe ","LH LH LH L-L% "
"45","MAR-P11-target6.wav","ananyaa nindaNi karte aahe ","LH LH LH L-L% "
"46","MAR-P11-target7.wav","laavanya aaraam karte aahe ","LH LH LH L-H% "
"47","MAR-P11-target8.wav","ananyaa naangarNi karte aahe ","LH LH LH L-H% "
"48","MAR-P11-target9.wav","laavanya nindaNi karte aahe ","LH LH LH L-L% "
"49","MAR-P2-target1.wav","ananyaa naangarNi karte aahe ","LH LH LH L-L% "
"50","MAR-P2-target10.wav","laavanya aaraam karte aahe ","LH LH LH L-L% "
"51","MAR-P2-target11.wav","ananyaa vyaayaam karte aahe ","LH LH LH L-L% "
"52","MAR-P2-target12.wav","laavanya naangarNi karte aahe ","LH LH LH L-L% "
"53","MAR-P2-target13.wav","ananyaa <p> aaraam karte aahe ","L-H% LH LH L-L% "
"54","MAR-P2-target14.wav","ananyaa vyaayaam karte aahe ","LH LH LH L-L% "
"55","MAR-P2-target15.wav","laavanya naangarNi karte aahe ","LH LH LH L-L% "
"56","MAR-P2-target16.wav","laavanya nindaNi karte aahe ","LH LH LH L-L% "
"57","MAR-P2-target2.wav","laavanya vyaayaam karte aahe ","LH LH LH L-L% "
"58","MAR-P2-target3.wav","ananyaa nindaNi karte aahe ","LH LH LH L-L% "
"59","MAR-P2-target4.wav","ananyaa aaraam karte aahe ","LH LH LH L-L% "
"60","MAR-P2-target5.wav","laavanya vyaayaam karte aahe ","LH LH LH L-L% "
"61","MAR-P2-target6.wav","ananyaa nindaNi karte aahe ","LH LH LH L-L% "
"62","MAR-P2-target7.wav","laavanya aaraam karte aahe ","LH LH LH L-L% "
"63","MAR-P2-target8.wav","ananyaa <p> naangarNi karte aahe ","L-H% LH LH L-L% "
"64","MAR-P2-target9.wav","laavanya nindaNi karte aahe ","LH LH LH L-L% "
"65","MAR-P3-target1.wav","ananyaa naangarNi karat aahe ","LH LH LH L-L% "
"66","MAR-P3-target10.wav","laavanya <p> aaraam karat aahe ","L-H% LH 0 L-H% "
"67","MAR-P3-target11.wav","ananyaa vyaayaam karat aahe ","LH LH 0 L-H% "
"68","MAR-P3-target12.wav","laavanya naangarNi karat aahe ","LH LH 0 L-H% "
"69","MAR-P3-target13.wav","ananyaa <p> aaraam karat aahe ","L-H% LH 0 L-H% "
"70","MAR-P3-target14.wav","ananyaa vyaayaam karat aahe ","LH LH 0 L-H% "
"71","MAR-P3-target15.wav","laavanya <p> naangarNi karat aahe ","L-H% LH 0 L-H% "
"72","MAR-P3-target16.wav","laavanya nindaNi karat aahe ","LH LH 0 L-H% "
"73","MAR-P3-target2.wav","laavanya vyaayaam karat aahe ","LH LH 0 L-H% "
"74","MAR-P3-target3.wav","ananyaa nindaNi karat aahe ","LH LH 0 L-H% "
"75","MAR-P3-target4.wav","ananyaa <p> aaraam karat aahe ","L-H% LH 0 L-L% "
"76","MAR-P3-target5.wav","laavanya vyaayaam karat aahe ","LH LH 0 L-H% "
"77","MAR-P3-target6.wav","ananyaa nindaNi karat aahe ","LH LH 0 L-H% "
"78","MAR-P3-target7.wav","laavanya <p> aaraam karat aahe ","L-H% LH 0 L-H% "
"79","MAR-P3-target8.wav","ananyaa naangarNi karat aahe ","LH LH 0 L-H% "
"80","MAR-P3-target9.wav","laavanya nindaNi karat aahe ","LH LH 0 L-H% "
"81","MAR-P4-target1.wav","ananyaa naangarNi karat aahe ","LH 0 0 L-H% "
"82","MAR-P4-target10.wav","laavanya aaraam karat aahe ","LH LH LH L-L% "
"83","MAR-P4-target11.wav","ananyaa vyaayaam karat aahe ","LH LH 0 L-L% "
"84","MAR-P4-target12.wav","laavanya naangarNi karat aahe ","LH LH 0 L-L% "
"85","MAR-P4-target13.wav","ananyaa aaraam karat aahe ","LH LH 0 L-L% "
"86","MAR-P4-target14.wav","ananyaa vyaayaam karat aahe ","LH LH 0 L-L% "
"87","MAR-P4-target15.wav","laavanya naangarNi karat aahe ","LH 0 0 L-L% "
"88","MAR-P4-target16.wav","laavanya nindaNi karte aahe ","LH LH LH L-L% "
"89","MAR-P4-target2.wav","laavanya vyaayaam karat aahe ","LH 0 0 L-L% "
"90","MAR-P4-target3.wav","ananyaa nindaNi karte aahe ","LH LH LH L-H% "
"91","MAR-P4-target4.wav","ananyaa aaraam karat aahe ","LH LH LH L-L% "
"92","MAR-P4-target5.wav","laavanya vyaayaam karat aahe ","LH LH LH L-L% "
"93","MAR-P4-target6.wav","ananyaa nindaNi karat aahe ","LH LH 0 L-L% "
"94","MAR-P4-target7.wav","laavanya aaraam karat aahe ","LH 0 0 L-L% "
"95","MAR-P4-target8.wav","ananyaa naangarNi karat aahe ","LH LH 0 L-L% "
"96","MAR-P4-target9.wav","laavanya nindaNi karat aahe ","LH LH 0 L-L% "
"97","MAR-P5-target1.wav","ananyaa naangarNi karte aahe ","LH LH 0 L-L% "
"98","MAR-P5-target10.wav","laavanya aaraam karte aahe ","LH LH 0 L-L% "
"99","MAR-P5-target11.wav","ananyaa vyaayaam karte aahe ","LH LH 0 L-L% "
"100","MAR-P5-target12.wav","laavanya naangarNi karte aahe ","LH LH 0 L-L% "
"101","MAR-P5-target13.wav","ananyaa aaraam karte aahe ","LH LH 0 L-L% "
"102","MAR-P5-target14.wav","ananyaa vyaayaam karte aahe ","LH LH 0 L-L% "
"103","MAR-P5-target15.wav","laavanya naangarNi karte aahe ","LH LH 0 L-L% "
