File,Tone,Time,Word,Syllable 
MAR-P10-target3.wav,L,0.3348412698412699,ananyaa,a
MAR-P10-target3.wav,H,0.6522054678776061,ananyaa,yaa
MAR-P10-target3.wav,L,0.8051281452739677,nindaNi,nin
MAR-P10-target4.wav,L,0.11882881353260745,ananyaa,a
MAR-P10-target4.wav,H,0.3938586333662747,ananyaa,yaa
MAR-P10-target4.wav,L,0.5104697586976543,aaraam,aa
MAR-P10-target4.wav,H,0.6704906631227443,aaraam,raam
MAR-P10-target5.wav,L,0.40761560945090186,laavanya,laa
MAR-P10-target5.wav,H,0.6843232554364054,laavanya,van
MAR-P10-target5.wav,L,0.8761183665038873,vyaayaam,vyaa
MAR-P10-target6.wav,L,0.32405911264640114,ananyaa,a
MAR-P10-target6.wav,H,0.6651191703324318,ananyaa,yaa
MAR-P10-target6.wav,L,0.8251769470912741,nindaNi,nin
MAR-P10-target6.wav,H,1.0620634200467154,nindaNi,Ni
MAR-P10-target7.wav,L,0.07580186500771348,laavanya,laa
MAR-P10-target7.wav,H,0.40619586514178974,laavanya,van
MAR-P10-target7.wav,L,0.5989134305792956,aaraam,aa
MAR-P10-target8.wav,L,0.17124839579275436,ananyaa,a
MAR-P10-target8.wav,H,0.43313844223131087,ananyaa,nan
MAR-P10-target8.wav,L,0.6536941779270601,naangarNi,naan
MAR-P10-target8.wav,H,1.02922544848039,naangarNi,Ni
MAR-P10-target9.wav,L,0.5033106575963718,laavanya,laa
MAR-P10-target9.wav,H,0.7926049965812731,laavanya,van
MAR-P10-target9.wav,L,1.0197612136940561,nindaNi,nin
MAR-P11-target1.wav,L,0.24123642264001655,ananyaa,a
MAR-P11-target1.wav,H,0.6284286761067849,ananyaa,yaa
MAR-P11-target1.wav,L,0.7884673072919484,naangarNi,naan
MAR-P11-target1.wav,H,1.1882785726338296,naangarNi,Ni
MAR-P11-target10.wav,L,0.2216764661227269,laavanya,laa
MAR-P11-target10.wav,H,0.5542403628117915,laavanya,ya
MAR-P11-target10.wav,L,0.6752403628117915,aaraam,aa
MAR-P11-target10.wav,H,0.9029185558441156,aaraam,raam
MAR-P11-target11.wav,L,0.1709201529763339,ananyaa,a
MAR-P11-target11.wav,H,0.6335109615006492,ananyaa,yaa
MAR-P11-target11.wav,L,0.8056440759373733,vyaayaam,vyaa
MAR-P11-target11.wav,H,1.0226490613571413,vyaayaam,yaam
MAR-P11-target12.wav,L,0.32292027537488655,laavanya,laa
MAR-P11-target12.wav,H,0.6751419544577556,laavanya,ya
MAR-P11-target12.wav,L,0.8449345402704898,naangarNi,naan
MAR-P11-target12.wav,H,1.1956938875995957,naangarNi,Ni
MAR-P11-target13.wav,L,0.212281922116271,ananyaa,a
MAR-P11-target13.wav,H,0.6183010017102377,ananyaa,yaa
MAR-P11-target13.wav,L,0.7925599963280434,aaraam,aa
MAR-P11-target13.wav,H,0.9943968914876578,aaraam,raam
MAR-P11-target14.wav,L,0.12812995471175492,ananyaa,a
MAR-P11-target14.wav,H,0.5068669557060707,ananyaa,yaa
MAR-P11-target14.wav,L,0.696059406309255,vyaayaam,vyaa
MAR-P11-target14.wav,H,0.9236082218822393,vyaayaam,yaam
MAR-P11-target15.wav,L,0.7548371412012639,laavanya,laa
MAR-P11-target15.wav,H,1.1121675522438825,laavanya,yaa
MAR-P11-target15.wav,L,1.279718366919106,naangarNi,naan
MAR-P11-target15.wav,H,1.591281289335543,naangarNi,Ni
MAR-P11-target16.wav,L,0.8413522260321282,laavanya,laa
MAR-P11-target16.wav,H,1.2147831137700527,laavanya,ya
MAR-P11-target16.wav,L,1.3545018935556394,nindaNi,nin
MAR-P11-target16.wav,H,1.7140289520941974,nindaNi,Ni
MAR-P11-target2.wav,L,0.3931066698702615,laavanya,laa
MAR-P11-target2.wav,H,0.772376858581544,laavanya,yaa
MAR-P11-target2.wav,L,0.963231524356102,vyaayaam,vyaa
MAR-P11-target2.wav,H,1.200938766448686,vyaayaam,yaam
MAR-P11-target3.wav,L,0.18190242540381957,ananyaa,a
MAR-P11-target3.wav,H,0.740576064261957,ananyaa,yaa
